id,name,description,start_time,end_time,location,address,organizer,fee,thumbnail,sports_category,activity_category,capacity,organizer
60d42767-0623-426d-8d06-d3ff021276f8,Saturday Afternoon GBK Park Walk and Talk + Lucy in the Sky Dinner and Drinks,"Senayan GBK Park is located in the heart of the city and is a nice place to visit and explore. Starting from Entrance 7 (Pintu 7), we will walk around and through the park and then over to Senayan Park Complex.Let's escape the hustle and bustle of Jakarta with a late afternoon stroll through Senayan GBK Park and make some new friends along the way!

Senayan GBK Park is located in the heart of the city and is a nice place to visit and explore. Starting from Entrance 7 (Pintu 7), we will walk around and through the park and then over to Senayan Park Complex.

Afterwards, we'll go to Lucy in the Sky at Spark, located on the rooftop of Senyan Park Mall for some refreshing drinks and food. This last part is optional for people who want to go.

The walk will be a casual stroll around several connecting parks. The walk will take approximately 1:30 hours.

We will meet just outside Entrance 7 near the main road.

Please be on time, as once we start the walk it will be very difficult to locate us. However, we will post the live location on the WhatsApp Group chat.

This is a fun and social event, and everyone is encouraged to get to know each other and make new friends.

📢 IMPORTANT: Attendance Reconfirmation Required

To ensure accurate headcounts and reduce no-shows, we're implementing an updated reconfirmation system for all events.

Here's how it works:

All events start with unlimited RSVPs.
4 days before each event, a reconfirmation form will be posted in the event comments and shared in the WhatsApp group.
You must reconfirm ASAP by submitting the form. Your spot is guaranteed only after you reconfirm.
The form closes once we reach the target attendance number.
Anyone who hasn’t reconfirmed when the form closes will be removed from the attendee list.
If you can’t attend, change your status to Not Going.
Three‑strike rule: If you don’t reconfirm and don’t change to Not Going three times, you will be removed from the group.

Thanks for helping us keep things running smoothly. Looking forward to seeing you all there.

If you have any questions, please feel free to let me know here or join our friendly and active WhatsApp Group Chat:
https://chat.whatsapp.com/FBQsf4Cv4yWACNs9gbiYNH

Instagram: https://www.instagram.com/jakartasocialgroup",2025-10-18T16:00:00+07:00,,"Entrance 7, GBK Park","Pintu 7, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota · Jakarta",Paul J.,,https://secure.meetupstatic.com/photos/event/6/f/0/3/highres_530308419.webp?w=1080,running,fun_run_ride,170,1
6d14b6e7-5b32-45d1-9d98-af11dbbf461f,ApotheCARE RUN 2025,untuk apoteker dan umum,2025-12-14T05:00:00+07:00,2025-12-14T11:00:00+07:00,Pantai Mertasari,"Jl. Pengembak No.1, Sanur Kauh, Kecamatan Denpasar Selatan, Denpasar Kota, Bali, Indonesia",PD IAI BALI,,"https://d3hzxw6fwm263k.cloudfront.net/uploads/events/photos/1756041726-BiM5HVBpRm6G4WhU6dz6V0QJ7qKsyJUG.png?width=1024&quality=90&x-oss-process=image/resize,w_1024,m_lfit/quality,q_90",running,marathon,220,2
2bb70587-e30b-4704-a421-37dcad96fddc,WMNLyfe: Spin with Babes Vol. 16,"WMNLyfe's Spin with Babes is the place to learn and improve your tennis skill. With a professional coach, were here to spin and have fun, and of course, everyone is welcome! All you need to do is just to come by, learn and enjoy. Lets ace together!",2025-10-18T08:00:00+07:00,2025-10-18T10:00:00+07:00,Somerset Grand Citra Jakarta,"Somerset Grand Citra Jakarta
Ciputra World Jakarta 1, Jl. Prof. DR. Satrio No.Kav 1, Kuningan, East Kuningan, Setiabudi, Jakarta City South, Jakarta, Indonesia",Event by Narasi,185000,"https://d3hzxw6fwm263k.cloudfront.net/uploads/events/photos/1759481145-cfgb9uFOTbg1DfOushM6nLjNBl3sLZjv.png?width=1024&quality=90&x-oss-process=image/resize,w_1024,m_lfit/quality,q_90",badminton,course,105,5
a80280ba-bd02-4c30-96f3-8ac71b79fceb,SIP CLUB: Suits to Sweats,"Detail:
- 2 jam, 2 lapangan
- 12 pemain
- Semua gender
- Semua umur
- Level: Upper beginner - intermediate
- Voucher for top 3
- Format: Mexicano
- Skor: Tennis Game of 4
- Pace: Intense
- Partner: Tidak tetap (rotasi)
- Bola akan disediakan
- Umpire/ballboy akan disediakan
- Snack & air putih akan disediakan
- Mohon bawa raket sendiri atau bisa pinjam di lapangan
- Mohon unggah bukti pembayaran ke Reclub SIP Club: https://reclub.co/clubs/@sipclub",2025-10-08T18:00:00+07:00,2025-10-08T20:00:00+07:00,Smash Padel Simatupang,"Jl. TB Simatupang No.34, Pasar Minggu, Jakarta Selatan Kota, Jakarta, Indonesia",SIP CLUB,240000,"https://d3hzxw6fwm263k.cloudfront.net/uploads/events/photos/1759475956-bevt2Rj0axxNs9aUUfbQtbpPspiGjoYp.jpg?width=1024&quality=90&x-oss-process=image/resize,w_1024,m_lfit/quality,q_90",padel,open_play,16,5
d0afe5fc-d6f0-46ec-85c6-a04494826f36,SIP Club: Doubles After Dark,"Detail:
- 3 jam, 2 lapangan
- 18 pemain
- Semua gender
- Semua umur
- Level: Upper beginner - intermediate
- Voucher for top 3
- Format: Americano
- Skor: Tennis Game of 4
- Pace: Intense
- Partner: Tetap (tidak rotasi)
- Bola akan disediakan
- Umpire/ballboy akan disediakan
- Mohon bawa raket sendiri atau bisa pinjam di lapangan
- Mohon unggah bukti pembayaran ke Reclub SIP Club: https://reclub.co/clubs/@sipclub",2025-10-08T20:00:00+07:00,2025-10-08T23:00:00+07:00,Republic Padel TB Simatupang,"Jl. TB Simatupang, RT.11/RW.4, Tj. Bar., Kecamatan Jagakarsa, Jakarta Selatan Kota, Jakarta, Indonesia",SIP CLUB,235000,"https://d3hzxw6fwm263k.cloudfront.net/uploads/events/photos/1759474427-HeiEGLdlvG7kVBx3OXoFSPiOunCqTWTQ.jpg?width=1024&quality=90&x-oss-process=image/resize,w_1024,m_lfit/quality,q_90",padel,open_play,48,3
ffcc4565-c0dc-4466-a0cc-1ebaee4c2d45,BORSUMY HERITAGE FUN RUN 2025,"Borsumy Fun Run 2025 Run Through the Heritage

Borsumy Heritage Semarang akan menyelenggarakan Borsumy Fun Run 2025 pada Minggu, 26 Oktober 2025 dengan titik start dan finish di Borsumy Heritage.

Acara ini terbuka untuk umum dan komunitas, menghadirkan pengalaman lari yang unik dengan sentuhan budaya heritage, hiburan musik, serta berbagai aktivitas seru sepanjang rute.

Fasilitas yang didapatkan peserta:
- Jersey eksklusif
- BIB number
- Finisher medal
- Racepack bag
- Doorprize menarik
- Refreshment
- Dokumentasi foto
- Akses ke hiburan musik (live band, DJ, cheering spot)
- Medical team & water station di sepanjang rute

Biaya Pendaftaran:
Presale: Rp150.000
Reguler: Rp200.000

Hiburan sepanjang rute: cheering spot, live music by S-Lost Band, dan DJ Bram Starmix.

Informasi lebih lanjut dapat diakses melalui akun resmi Borsumy Heritage: @borsumyevents dan @borsumyheritage_indonesia.

segera daftarkan diri Anda dan nikmati pengalaman lari yang penuh semangat di BorsumyFunRun2025!",2025-10-26T06:00:00+07:00,2025-10-26T10:00:00+07:00,Borsumy Heritage,"Jl. Letjen Suprapto No.30-31, Old Town, Tj. Mas, Kecamatan Semarang Utara, Semarang Kota, Jawa Tengah, Indonesia",BORSUMY HERITAGE INDONESIA,200000,"https://d3hzxw6fwm263k.cloudfront.net/uploads/events/photos/1757932076-Xpu8vOQ7vmkyenydlw4BksOhkhUnqaAo.png?width=1024&quality=90&x-oss-process=image/resize,w_1024,m_lfit/quality,q_90",running,fun_run_ride,20,5
cb0ec9ee-5dc4-4e6e-9128-2e42a0613219,AMATERASUN SPORT ACADEMY - GUARDIAN RUKO BUARAN,"AMATERASUN SPORT ACADEMY

Amaterasun Sport Academy hadir untuk ajak kamu olahraga seru namun tetap aman di bawah matahari.

Dengan perlindungan #RealSPF dan Intelligent DNA Guardian dari Amaterasun Sunscreen, kamu bisa bebas bergerak kapan aja, di mana aja tanpa takut kulit belang.

Bagi Amaterasun, gaya hidup sehat dimulai dari satu langkah kecil, dan setiap tetes perlindungan yang nyata.

Sport Academy bukan cuma olahraga, tapi juga cara seru buat hidup sehat, aktif, dan selalu terlindungi!",2025-10-26T08:00:00+07:00,2025-10-26T09:00:00+07:00,Apotek Guardian Ruko Buaran,"Jl. Buaran Raya No.39, RT.6/RW.15, Duren Sawit, Kecamatan Duren Sawit, Jakarta Timur Kota, Daerah Khusus Ibukota Jakarta, Indonesia",Somethinc Official,45000,"https://d3hzxw6fwm263k.cloudfront.net/uploads/events/photos/1757492316-3THeIWHbjkywJTNdZjDNBbywFFAgDMEV.jpg?width=1024&quality=90&x-oss-process=image/resize,w_1024,m_lfit/quality,q_90",poundfit,course,60,4
71667ac2-a8f7-4c9c-a069-e214892611c8,AMATERASUN SPORT ACADEMY - GUARDIAN MERUYA ILIR,"AMATERASUN SPORT ACADEMY

Amaterasun Sport Academy hadir untuk ajak kamu olahraga seru namun tetap aman di bawah matahari.

Dengan perlindungan #RealSPF dan Intelligent DNA Guardian dari Amaterasun Sunscreen, kamu bisa bebas bergerak kapan aja, di mana aja tanpa takut kulit belang.

Bagi Amaterasun, gaya hidup sehat dimulai dari satu langkah kecil, dan setiap tetes perlindungan yang nyata.

Sport Academy bukan cuma olahraga, tapi juga cara seru buat hidup sehat, aktif, dan selalu terlindungi!",2025-10-12T08:00:00+07:00,2025-10-12T09:00:00+07:00,GUARDIAN - Ruko Meruya Ilir,"Jl. Meruya Ilir Raya No.2, Srengseng, Kecamatan Kembangan, Jakarta Barat Kota, Daerah Khusus Ibukota Jakarta, Indonesia",Somethinc Official,45000,"https://d3hzxw6fwm263k.cloudfront.net/uploads/events/photos/1757490650-mvpwROn71TrnIdrqaMlRdviaQp9PHdSH.jpg?width=1024&quality=90&x-oss-process=image/resize,w_1024,m_lfit/quality,q_90",poundfit,course,80,1
d0063798-9b86-47f6-9182-c80526b77109,AMATERASUN SPORT ACADEMY - WATSONS TANJUNG DUREN STREET,"AMATERASUN SPORT ACADEMY

Amaterasun Sport Academy hadir untuk ajak kamu olahraga seru namun tetap aman di bawah matahari.

Dengan perlindungan #RealSPF dan Intelligent DNA Guardian dari Amaterasun Sunscreen, kamu bisa bebas bergerak kapan aja, di mana aja tanpa takut kulit belang.

Bagi Amaterasun, gaya hidup sehat dimulai dari satu langkah kecil, dan setiap tetes perlindungan yang nyata.

Sport Academy bukan cuma olahraga, tapi juga cara seru buat hidup sehat, aktif, dan selalu terlindungi!",2025-10-25T08:00:00+07:00,2025-10-25T09:00:00+07:00,Watsons Tanjung Duren,"Jl. Tanjung Duren Raya No.39, RT.1/RW.5, Tj. Duren Sel., Kecamatan Grogol petamburan, Jakarta Barat Kota, Daerah Khusus Ibukota Jakarta, Indonesia",Somethinc Official,45000,"https://d3hzxw6fwm263k.cloudfront.net/uploads/events/photos/1757489744-m8aboIOlen0hD7UzyGLdzLw94R8Q8rRO.jpg?width=1024&quality=90&x-oss-process=image/resize,w_1024,m_lfit/quality,q_90",poundfit,course,85,1
9e85aecd-95e6-4b8f-afd1-2ca99b77f114,AMATERASUN SPORT ACADEMY - WATSONS PESANGGRAHAN RAYA STREET,"AMATERASUN SPORT ACADEMY

Amaterasun Sport Academy hadir untuk ajak kamu olahraga seru namun tetap aman di bawah matahari.

Dengan perlindungan #RealSPF dan Intelligent DNA Guardian dari Amaterasun Sunscreen, kamu bisa bebas bergerak kapan aja, di mana aja tanpa takut kulit belang.

Bagi Amaterasun, gaya hidup sehat dimulai dari satu langkah kecil, dan setiap tetes perlindungan yang nyata.

Sport Academy bukan cuma olahraga, tapi juga cara seru buat hidup sehat, aktif, dan selalu terlindungi!",2025-10-25T08:00:00+07:00,2025-10-25T09:00:00+07:00,Watsons,"Jl. Pesanggrahan No.6, RT.10/RW.5, Meruya Utara, Kecamatan Kembangan, Jakarta Barat Kota, Daerah Khusus Ibukota Jakarta, Indonesia",Somethinc Official,45000,"https://d3hzxw6fwm263k.cloudfront.net/uploads/events/photos/1757488819-nUgiwBRNjpt9xOFE2QaoKA2VzNYmtbdT.jpg?width=1024&quality=90&x-oss-process=image/resize,w_1024,m_lfit/quality,q_90",poundfit,course,60,1
